UID;Frage;Antwort;Subject;Zusatzangaben;Tausch;Phase;Eingabedatum;DueDate
279;das Lob  loben;el elogio  elogiar;El arte de empezar;;swapped;5;21.05.17;02.03.19
280;das Messer;el cuchillo;ECOS Español;;;5;18.02.18;02.02.19
281;das Protokoll führen;to take the minutes;Business English 1;;;5;01.12.13;19.03.16
282;das Schaufenster;el escaparate     A mi me gusta mirar al escaparate pero no suelo comprar lo que veo.;Malaga 2018;;swapped;4;29.03.18;25.12.18
283;das Summen;el zumbido     el zumbido constante de los coches y autobuses;ECOS Español;;swapped;1;04.11.18;04.11.18
284;das Thema verfehlen;miss the point;Business English 1;;swapped;1;06.01.14;06.01.18
285;das Türschloss;la cerradura;Malaga 2018;;;5;29.03.18;07.12.18
286;das überlassen wir Ihnen;we'll leave that up to you;Business English 2;;;1;11.03.15;07.06.15
287;das Wasserglas     das Weinglas;el vaso de agua     la copa de vino (con cuello);Malaga 2018;;swapped;5;29.03.18;12.01.19
288;das wird eine Vertragsstrafe nach sich ziehen;that will entail a penalty;Business English 2;;;1;11.03.15;20.12.15
289;De / comparta informaciones sobre ti;Gebe / teile Informationen über dich   ;Malaga 2018;;;5;29.03.18;07.12.18
290;dead line;Frist;Business English 1;;swapped;3;12.01.14;30.12.15
291;de antemano;im Voraus;El arte de empezar;;;6;21.05.17;
292;debit note;Lastschrift;Business English 1;;swapped;3;12.01.14;28.01.14
293;decent;ordentlich;Business English 1;;swapped;4;01.12.13;15.02.14
294;decepcionar a alguien     Solo espero que no te decepcione.;jmdn. enttäuschen;Malaga 2018;;;5;18.08.18;02.03.19
295;Dejas las compras para la época de las rabajas?;Sparst du deine Einkäufe für die Angebote?;Malaga 2018;;;5;29.03.18;12.01.19
296;delay in delivery;Lieferverzug;Business English 2;;swapped;3;11.03.15;30.12.15
297;delay in transport;Lieferverzug;Business English 1;;swapped;5;12.01.14;06.04.18
298;delay of payment;Zahlungsverzug;Business English 2;;swapped;3;11.03.15;13.03.18
299;delivery date;Lieferdatum;Business English 2;;swapped;2;11.03.15;06.03.18
300;delivery note;Lieferschein;Business English 2;;swapped;2;11.03.15;09.01.18
301;delivery period / time;Lieferzeitraum;Business English 2;;swapped;2;11.03.15;10.06.15
302;delivery time;Lieferzeit;Business English 1;;swapped;2;12.01.14;21.01.14
303;delivery time;Lieferfristen;Business English 1;;swapped;4;01.12.13;17.02.14
304;dem kann ich mich nicht anschließen;I can't go along with you on / that;Business English 2;;;2;11.03.15;23.12.15
305;Demonstriere was du beiträgst;Demuestre que contribuyes;Malaga 2018;;swapped;5;29.03.18;12.01.19
306;Demuestre que contribuyes;Demonstriere was du beiträgst;Malaga 2018;;;5;29.03.18;07.12.18
307;den Horizont erweitern;ampliar el horizonte     ¿Le gustaría ampliar sus horizontes profesionales y adquirir nuevas experiencias?;El arte de empezar;;swapped;6;20.01.18;
308;den Konsum fördern;alentar el consumo;El arte de empezar;;;2;21.05.17;05.12.18
309;den Kopf schütteln;sacudir la cabeza;El arte de empezar;;swapped;6;21.05.17;
310;Dependiente de los objectivos, se usarán recursos lingüísticos diferentes.;Abhängig von den Zielen, lassen sich verschiedene linguistische Mittel nutzen.;Español Gramática;;;3;04.03.18;20.03.18
311;deposit;Anzahlung;Business English 1;;;4;04.11.13;27.01.14
312;der Bleistift;el lápiz;Malaga 2018;;swapped;5;29.03.18;07.12.18
313;Der Bürgermeister bittet mich ihm zu helfen.;El alcalde me pide que le ayude.;Español Gramática;;swapped;3;18.02.18;13.03.18
314;der Empfang;la acogida;El arte de empezar;;swapped;6;21.05.17;
315;der Gruppenrabatt / der Mitarbeiterrabatt;el descuento de grupo / para empleados;Malaga 2018;;swapped;5;29.03.18;12.01.19
316;der Haftungsausschluss;disclaimer / (exclusion of) liability;Business English 2;;;1;11.03.15;20.12.15
317;der Haufen;el montón;El arte de empezar;;;6;12.11.17;
318;der Kugelschreiber;el bolígrafo;Malaga 2018;;swapped;5;29.03.18;12.01.19
319;der Lieferwagen;la furgoneta;ECOS Español;;swapped;6;06.01.18;
320;der Löffel;la cuchara;ECOS Español;;;5;18.02.18;02.02.19
321;der Mangel;la carencia     En alemania del este había una carencia de muchos alimientos coditianos.;El arte de empezar;;;6;21.05.17;
322;der Mantel;el abrigo;Malaga 2018;;swapped;5;29.03.18;12.01.19
323;der Pechtag;el dia de mala suerte;Malaga 2018;;swapped;5;29.03.18;12.01.19
324;Der Preis der Aktion ist maßlos gestiegen.;El precio de las acciones ha subido de manera desmesurada.;Español Gramática;;swapped;2;04.03.18;08.03.18
325;der Pullover;el jersey;Malaga 2018;;swapped;5;29.03.18;07.12.18
326;der Redner;el orador;El arte de empezar;;swapped;5;04.03.18;02.03.19
327;Der Redner zitiert eine bekannte Autorität, der sein Thema unterstützt.;El orador cita a alguna autoridad conocida que apoye su tema.;Español Gramática;;swapped;1;04.03.18;26.11.18
328;derrochar dinero     ser derrochador     Si no trabajas durante un año, no puedes ser derrochadora.;Geld verschwenden     verschwenderisch sein     Wenn Du ein Jahr nicht arbeitest, kannst du nicht verschwenderisch sein.;Malaga 2018;;;5;29.03.18;12.01.19
329;der Schal;el chal / la bufanda     el pañuelo;Malaga 2018;;;5;29.03.18;23.02.19
330;der Schlüssel;la llave;Malaga 2018;;swapped;5;29.03.18;12.01.19
331;der Schuh     das Schuhwerk;el zapato     el calzado;Malaga 2018;;swapped;3;29.03.18;12.12.18
332;Der Schüler verstand den Satz nicht, fragte seine Lehrerin und diese antwortete ihm.;El alumno no comprendió la frase, le preguntó a su profesora y ésta le contestó.;Español Gramática;;swapped;4;10.02.18;30.03.18
333;der Staub;el polvo;El arte de empezar;;swapped;6;21.05.17;
334;der Teller;el plato;ECOS Español;;swapped;5;18.02.18;02.02.19
335;der Teppich;la alfombra;ECOS Español;;;4;06.01.18;04.12.18
336;der Topf;el pote  la olla (lat. am.);ECOS Español;;swapped;2;18.02.18;07.11.18
337;der Verkäufer;el/la dependiente / -a  el vendedor;Malaga 2018;;;5;29.03.18;23.02.19
338;der Vertrag;the contract;Business English 2;;;2;11.03.15;10.06.15
339;der Weg entsteht beim Gehen;"se hace camino al andar     Caminante, son tus huellas el camino y nada más;  Caminante, no hay camino, se hace camino al andar.";ECOS Español;;swapped;1;04.11.18;04.11.18
340;der Zebrastreifen;el paso de cebra;Malaga 2018;;swapped;5;29.03.18;23.02.19
341;der Zirkus;el circo;El arte de empezar;;;6;12.11.17;
342;desconfiar de     Desconfíe también de las cafeterías: en muchas venden cocaína, crack y otras drogas a cualquier hora del día;misstrauen;ECOS Español;;swapped;6;06.01.18;
343;Desde 2013 / desde hace 5 años;Seit 2013 / seit 5 Jahren;Malaga 2018;;;5;29.03.18;12.01.19
344;Desde agosto estudio español.;Seit August lerne ich Spanisch.;ECOS Español;;swapped;6;04.02.18;
345;desde ahora mismo;ab sofort;El arte de empezar;;swapped;6;20.01.18;
346;Desde el año pasado vivo aquí.;Seit vorigem Jahr wohne ich hier.;Español Gramática;;;4;10.02.18;30.03.18
347;Desde hace una semana está en mi curso.;Seit einer Woche ist sie in meinem Kurs.;ECOS Español;;swapped;6;04.02.18;
348;desgraciadamente;bedauerlicherweise;El arte de empezar;;;6;21.05.17;
349;deshacer     Ortega quiere deshacerse de toda oposición en el pais.;loswerden;El arte de empezar;;;5;21.05.17;02.03.19
350;desistir     Bill Gates desistió como gerente de Microsoft.;zurücktreten;El arte de empezar;;swapped;5;21.05.17;02.03.19
351;deslizarse     (...) lo fácil que es deslizarse hacia el abismo (Abgrund);gleiten;ECOS Español;;;2;06.01.18;07.11.18
352;despertar recelos     El anuncio hecho por el presidente despertó recelos y agitó viejos fantasmas.;Misstrauen wecken;ECOS Español;;;1;04.11.18;04.11.18
353;Detrás de este edificio hay un volcán que no se puede ver de aquí.;Hinter dem Gebäude ist ein Vulkan, den man von hier nicht sehen kann.;Español Gramática;;;3;18.02.18;13.03.18
354;Deutsches Recht ist anwendbar;german law is applicable;Business English 2;;;3;11.03.15;16.01.18
355;dibujar a algien  el dibujo;zeichnen  die Zeichnung;Malaga 2018;;;5;29.03.18;12.01.19
356;dicha meta;dieses Ziel;El arte de empezar;;;6;21.05.17;
357;die Ampel;el semáforo;Malaga 2018;;swapped;5;29.03.18;23.02.19
358;die ausgestreckte Hand;la mano alzada     Microsoft oferecía su mano alzada para ayudar a Apple en su crisis.;El arte de empezar;;;6;12.11.17;
359;die Badehose;el calzón de baño;Malaga 2018;;swapped;4;29.03.18;26.12.18
360;die Bettlaken;las sábanas;Malaga 2018;;;5;29.03.18;07.12.18
361;die Dose;la lata;El arte de empezar;;swapped;6;21.05.17;
362;die Erlangung;la obtención;El arte de empezar;;swapped;5;21.05.17;02.03.19
363;die Fähigkeit;la habilidad;El arte de empezar;;swapped;6;21.05.17;
364;Die Feier war toll, es waren viele Leute da.;La fiesta fue fenomenal, había mucha gente.;Español Gramática;;swapped;4;18.02.18;26.12.18
365;die Fernbedienung;el mando a distancia;Malaga 2018;;swapped;5;29.03.18;23.02.19
366;Die Frage zu wiederholen gibt Ihnen ein bisschen Zeit, um über die Antwort nachzudenken.;Repetir la pregunta le dará algo de tiempo para pensar en la respuesta.;Español Gramática;;swapped;1;04.03.18;26.11.18
367;die Gabel;el tenedor;ECOS Español;;;2;18.02.18;07.11.18
368;die großen Warenhäuser;los grandes almacenes;Malaga 2018;;swapped;5;29.03.18;12.01.19
369;die Haftung;the liability;Business English 2;;;3;11.03.15;30.12.15
370;die Hose;los pantalones;Malaga 2018;;swapped;5;29.03.18;12.01.19
371;Die Kisten sind unter dem Bett.;Las cajas están debajo de la cama.;Español Gramática;;swapped;3;18.02.18;13.03.18
372;Die Lehrer erzählten den Kindern von der Geschichte der Inkas und so kam die Freude zurück.;Los profesores les hablaron a los niños de la historia inca y así volvió la algeria.;Español Gramática;;swapped;4;10.02.18;30.03.18
373;die Menschheit;el género humano;Español Gramática;;swapped;1;04.03.18;18.08.18
374;die Mutlosigkei (auch Schwäche);el desaliento;El arte de empezar;;swapped;6;22.10.17;
375;dienen;servir;El arte de empezar;;;6;12.11.17;
376;Dienstleistung;service;Business English 2;;;3;11.03.15;17.06.15
377;die Rede;el discurso;El arte de empezar;;swapped;6;04.03.18;
378;die Schere;las tijeras;Malaga 2018;;swapped;4;29.03.18;25.12.18
379;die Schuhe;los zapatos;Malaga 2018;;swapped;5;29.03.18;07.12.18
380;dieses Ziel;dicha meta;El arte de empezar;;swapped;6;21.05.17;
381;die Socken;los calcetines;Malaga 2018;;swapped;3;29.03.18;12.12.18
382;Die Spanier schränken sich nicht ein was abends ausgehen angeht.     einschränken;Los españoles no se privan de salir por las noches.     privarse;Malaga 2018;;swapped;4;29.03.18;25.12.18
383;die Tasse;la taza;ECOS Español;;swapped;2;18.02.18;07.11.18
384;die Überwachung;la custodia;ECOS Español;;swapped;1;04.11.18;04.11.18
385;die Unterhose;los calzoncillos;Malaga 2018;;swapped;5;29.03.18;23.02.19
386;die Verhandlung;negociation;Business English 2;;;5;11.03.15;06.04.18
387;die Verhandlung wird verschoben / vorgezogen;the negociation will be postponed / put forward;Business English 2;;;2;11.03.15;10.06.15
388;die Versammlung;la asamblea;El arte de empezar;;;6;12.11.17;
389;Die Wahrheit ist...;La verdad es que...;Malaga 2018;;;5;29.03.18;12.01.19
390;die Wanderung;la caminata     Se aconseja hacer la caminata entre los meses de mayo y septiembre.;ECOS Español;;swapped;1;04.11.18;04.11.18
391;die Werkzeuge;las herramientas;El arte de empezar;;swapped;6;21.05.17;
392;Die Zeit für Fragen erlaubt Interaktion mit dem Publikum.;El tiempo dedicado a las preguntas permite la interacción con la audiencia.;Español Gramática;;swapped;3;04.03.18;20.03.18
393;die Zeitspanne;el lapso;ECOS Español;;swapped;1;04.11.18;04.11.18
394;die Zweifel bleiben;las dudas subsisten     subsistir;ECOS Español;;swapped;1;04.11.18;04.11.18
395;difundirse     Desde entonces se difundió como sombrero de Panamá, pero usted ahora saben que es de Ecuador;sich verbreiten   ;ECOS Español;;;5;06.01.18;02.02.19
396;dirijirse     Por favor, dirijanse a las personas de contacto de su respectativa división.;sich an jemanden wenden;El arte de empezar;;;6;20.01.18;
397;disclaimer / (exclusion of) liability;der Haftungsausschluss;Business English 2;;swapped;3;11.03.15;13.03.18
398;discounts;Preisnachlässe (Rabatt: nur im nachhinein);Business English 1;;;5;04.11.13;19.03.16
399;discourage;entmutigen;Business English 1;;swapped;2;12.01.14;19.01.14
400;disinclination;Abneigung;Business English 2;;swapped;1;11.03.15;07.06.15
401;disponible     ¿Estás disponible durante las fechas previstas del intercambio?;verfügbar   ;El arte de empezar;;;6;20.01.18;
402;distribuir (ind)     yo distribuyo;yo distribuí, el distribuyó;Malaga 2018;;;5;29.03.18;12.01.19
403;divertirse;Spaß haben;El arte de empezar;;swapped;6;12.11.17;
404;document of title;Anrufbeantworteransage;Business English 1;;swapped;4;01.12.13;15.02.14
405;domestic;inländisch;Business English 1;;;5;04.11.13;14.04.14
406;Dónde está José?     No lo veo.;Wo ist José?     Ich sehe ihn nicht.;Español Gramática;;swapped;4;10.02.18;30.03.18
407;Dormir con la luz encendida;Mit Licht schlafen;Malaga 2018;;;5;29.03.18;12.01.19
408;Dort spricht man seit 500 Jahren Spanisch.;Ahí se habla español desde hace 500 años.;Español Gramática;;swapped;4;10.02.18;30.03.18
409;Dos de cada cinco hablan español.;Zwei von fünf reden spanisch.;Español Gramática;;;3;18.02.18;13.03.18
410;down time (machine), stagnation (economical), stillstand, stoppage;Stillstand;Business English 2;;swapped;2;11.03.15;09.06.15
411;drive a hard bargain;eine harte Linie fahren / hart zu feilschen;Business English 1;;;3;12.01.14;28.01.14
412;durch etwas ersetzen;sustituir por algo;El arte de empezar;;swapped;5;12.11.17;02.03.19
413;E es menos difícil que alemán.;S ist weniger schwierig als D.;ECOS Español;;;6;04.02.18;
414;ehrlich gesagt;frankly speaking;Business English 2;;;3;11.03.15;16.01.18
415;Eigentumsrechte;property rights;Business English 2;;;1;11.03.15;03.03.18
416;ein Angebot unterbreiten;submit an offer;Business English 1;;;1;12.01.14;20.12.15
417;"ein Bauteil ""abnehmen""";to accept / take delivery of / inspect a component;Business English 2;;;1;11.03.15;06.01.18
418;ein Bild / Portät;un retrato     un retrato de la grave situación del continente, en el que 35 milliones no están logrando niveles minimos de conocimiento en lectura (...);ECOS Español;;;2;06.01.18;07.11.18
419;ein Dokumentalfilm;un documental;El arte de empezar;;;6;12.11.17;
420;eine Ablehnung;un rechazo;El arte de empezar;;swapped;6;21.05.17;
421;eine Annahme;un supuesto;El arte de empezar;;swapped;6;21.05.17;
422;eine Arbeitsplatzverlegung;un traslado laboral;ECOS Español;;swapped;1;04.11.18;04.11.18
423;eine Entscheidung treffen   ;tomar una decisión;Malaga 2018;;swapped;5;18.08.18;02.03.19
424;eine Forderung stellen;to request;Business English 2;;;3;11.03.15;16.01.18
425;eine Frist beachten;observe a deadline;Business English 2;;;2;11.03.15;10.06.15
426;eine Gebühr;una tasa;ECOS Español;;swapped;1;04.11.18;04.11.18
427;eine harte Linie fahren / hart zu feilschen;drive a hard bargain;Business English 1;;swapped;1;12.01.14;06.01.18
428;eine Lieferung ausführen;to execute a delivery;Business English 2;;;3;11.03.15;30.12.15
429;eine Nachfrist gewähren;grant a respite;Business English 1;;swapped;4;04.11.13;26.01.14
430;einen angenehmen Kugelschreiber für Klausuren;un bolígrafo cómodo para exámenes;Malaga 2018;;swapped;5;29.03.18;07.12.18
431;einen Auftrag durchführen;to execute an order;Business English 1;;swapped;2;12.01.14;19.01.14
432;einen Einwand vorbringen;to lodge an objection;Business English 2;;;1;11.03.15;20.12.15
433;eine neue Ausrichtung;un nuevo trazado;ECOS Español;;swapped;1;04.11.18;04.11.18
434;einen Kompromiss schließen;make a compromise;Business English 2;;;2;11.03.15;10.06.15
435;einen Termin vereinbaren;to make / fix an appointment;Business English 2;;;3;11.03.15;16.01.18
436;einen Vertrag schließen;sign / conclude a contract;Business English 2;;;3;11.03.15;30.12.15
437;eine Rechnung öffnen / schließen;abrir / cancelar una cuenta;Malaga 2018;;swapped;5;29.03.18;12.01.19
438;ein Ersatzteil;un repuesto     El ejército no tiene repuestos ni para que sus tanques blindados desfilen en las fiestas patrias.;ECOS Español;;swapped;1;04.11.18;04.11.18
439;eine selbstschuldnerische Bürgschaft;a direct guarantee;Business English 2;;;1;11.03.15;11.03.15
440;eine Unternehmenspolitik verwerfen;waive a policy;Business English 1;;swapped;5;04.11.13;14.04.14
441;eine Zahlung leisten;to effect payment;Business English 1;;;2;12.01.14;19.01.14
442;einfach erklären was kompliziert ist;explicar de forma sencilla lo que es complicado;Malaga 2018;;swapped;4;18.08.18;25.12.18
443;einfrieren;congelar     me congeló la risa y estuve a punto de echarme a llorar;ECOS Español;;swapped;2;06.01.18;07.11.18
444;eingetaucht, versunken;inmerso     puesto que nada indica que el sistema bancario italiano estuviese inmerso en una crisis general;ECOS Español;;swapped;1;04.11.18;04.11.18
445;ein langfristiger Plan;un plan a largo plazo     En la Argentina, los planes a largo plazo no se cumplen. Ya ni siquiera se formulan.;ECOS Español;;swapped;1;04.11.18;04.11.18
446;ein Magnet;un imán (permanente);Malaga 2018;;swapped;4;29.03.18;25.12.18
447;Einrichtung / Eröffnung;establishment;Business English 1;;swapped;1;04.11.13;20.12.15
448;einschließen     Sie haben das Tier in einem Käfig eingeschlossen.;encerrar     Encerraron el animal en una jaula.;El arte de empezar;;;6;12.11.17;
449;ein schräges Bild     gerade     schräg;un cuarto torcido     recto     torcido;Malaga 2018;;swapped;5;29.03.18;12.01.19
450;einschränken  aus dem Verkehr ziehen;"restringir  retirar     Por esta razón, Barcelona ha restringido las zonas de circulación;  Valencia, de momento, los ha retirado, y Madrid quiere regular dónde se puede circular con ellos.";ECOS Español;;swapped;1;04.11.18;04.11.18
451;einseitig;unileterally;Business English 1;;swapped;2;06.01.14;19.01.14
452;Eins nach dem anderen.;First things first.;Business English 1;;swapped;3;06.01.14;30.12.15
453;ein Sprichwort;un proverbio;El arte de empezar;;swapped;6;21.05.17;
454;ein vollständiger Manager;an accomplished manager;Business English 1;;;1;01.12.13;20.12.15
455;ein Vortrag;una charla;El arte de empezar;;swapped;6;21.05.17;
456;el/la dependiente / -a  el vendedor;der Verkäufer;Malaga 2018;;swapped;5;29.03.18;07.12.18
457;el abrigo;der Mantel;Malaga 2018;;;5;29.03.18;07.12.18
458;El alcalde me pide que le ayude.;Der Bürgermeister bittet mich ihm zu helfen.;Español Gramática;;;3;18.02.18;13.03.18
459;El alumno no comprendió la frase, le preguntó a su profesora y ésta le contestó.;Der Schüler verstand den Satz nicht, fragte seine Lehrerin und diese antwortete ihm.;Español Gramática;;;5;10.02.18;24.02.19
460;El año pasado estudiaba mucho.;Letztes Jahr habe ich viel gelernt.;Español Gramática;;;3;18.02.18;13.03.18
461;El año pasado la televisión llegó a este pueblo.;Letztes Jahr kam das Fernsehen in das Dorf.;Español Gramática;;;5;10.02.18;24.02.19
462;el asombro     me asombra que;das Erstaunen     es erstaunt mich, dass;El arte de empezar;;swapped;5;21.05.17;02.03.19
463;el avión ya se despegó     despegarse;das Flugzeug ist schon abgeflogen     abheben /starten;Malaga 2018;;;5;29.03.18;12.01.19
464;el bolígrafo;der Kugelschreiber;Malaga 2018;;;5;29.03.18;07.12.18
465;el calzón de baño;die Badehose;Malaga 2018;;;5;29.03.18;07.12.18
466;el chal / la bufanda     el pañuelo;der Schal;Malaga 2018;;swapped;5;29.03.18;12.01.19
467;el circo;der Zirkus;El arte de empezar;;swapped;6;12.11.17;
468;el cuchillo;das Messer;ECOS Español;;swapped;5;18.02.18;02.02.19
469;el desaliento;die Mutlosigkei (auch Schwäche);El arte de empezar;;;6;22.10.17;
470;el descuento de grupo / para empleados;der Gruppenrabatt / der Mitarbeiterrabatt;Malaga 2018;;;5;29.03.18;12.01.19
471;el dia de mala suerte;der Pechtag;Malaga 2018;;;5;29.03.18;07.12.18
472;el discurso;die Rede;El arte de empezar;;;5;04.03.18;19.01.19
473;el elogio  elogiar;das Lob  loben;El arte de empezar;;;6;21.05.17;
474;el escaparate     A mi me gusta mirar al escaparate pero no suelo comprar lo que veo.;das Schaufenster;Malaga 2018;;;5;29.03.18;12.01.19
475;el género humano;die Menschheit;Español Gramática;;;2;04.03.18;08.03.18
476;el iluso / la ilusa;Träumer / Naivling;ECOS Español;;;6;06.01.18;
477;el jersey;der Pullover;Malaga 2018;;;5;29.03.18;07.12.18
478;el lápiz;der Bleistift;Malaga 2018;;;5;29.03.18;07.12.18
479;el lapso;die Zeitspanne;ECOS Español;;;1;04.11.18;04.11.18
480;el mando a distancia;die Fernbedienung;Malaga 2018;;;5;29.03.18;12.01.19
481;el montón;der Haufen;El arte de empezar;;swapped;6;12.11.17;
482;el ocio y tiempo libre;Freizeit;Malaga 2018;;;5;29.03.18;12.01.19
483;el orador;der Redner;El arte de empezar;;;5;04.03.18;19.01.19
484;El orador cita a alguna autoridad conocida que apoye su tema.;Der Redner zitiert eine bekannte Autorität, der sein Thema unterstützt.;Español Gramática;;;3;04.03.18;24.10.18
485;el paso de cebra;der Zebrastreifen;Malaga 2018;;;5;29.03.18;07.12.18
486;el patinete eléctrico;E-Scooter;ECOS Español;;swapped;1;04.11.18;04.11.18
487;el plato;der Teller;ECOS Español;;;5;18.02.18;19.01.19
488;el polvo;der Staub;El arte de empezar;;;6;21.05.17;
489;el pote  la olla (lat. am.);der Topf;ECOS Español;;;5;18.02.18;19.01.19
490;El precio de las acciones ha subido de manera desmesurada.;Der Preis der Aktion ist maßlos gestiegen.;Español Gramática;;;3;04.03.18;20.03.18
491;el rostro;das Gesicht;El arte de empezar;;;6;21.05.17;
492;el semáforo;die Ampel;Malaga 2018;;;5;29.03.18;12.01.19
493;el sentimiento de apego     el apego;das Verbundenheitsgefühl     die Verbundenheit / Zuneigung;ECOS Español;;;2;22.10.17;07.11.18
494;el tenedor;die Gabel;ECOS Español;;swapped;5;18.02.18;02.02.19
495;El tiempo dedicado a las preguntas permite la interacción con la audiencia.;Die Zeit für Fragen erlaubt Interaktion mit dem Publikum.;Español Gramática;;;3;04.03.18;20.03.18
496;el vaso;das Glas;ECOS Español;;;5;18.02.18;02.02.19
497;el vaso de agua     la copa de vino (con cuello);das Wasserglas     das Weinglas;Malaga 2018;;;5;29.03.18;12.01.19
498;el vestido;das Kleid;Malaga 2018;;;5;29.03.18;12.01.19
499;el zapato     el calzado;der Schuh     das Schuhwerk;Malaga 2018;;;5;29.03.18;12.01.19
500;el zumbido     el zumbido constante de los coches y autobuses;das Summen;ECOS Español;;;1;04.11.18;04.11.18
501;empeñarse en     Steve Jobs se empeñó en soló entregar productos perfectos.;bestehen auf;El arte de empezar;;;6;12.11.17;
502;emphatisch;enfático;El arte de empezar;;swapped;6;21.05.17;
503;empujar  presionar;schieben/drücken;El arte de empezar;;;6;21.05.17;
504;En 2007 los profesores tuvieron razon acerca de la crisis.;2007 hatten die Professoren recht was die Krise angeht.;Español Gramática;;;5;10.02.18;24.02.19
505;En 2016 tenía la posibilidad de estudiar en California.;2016 hatte ich die Chance in Kalifornien zu studieren.;Español Gramática;;;3;18.02.18;13.03.18
506;En cambio, si quiere marcar distancia, vístase de manera seria y formal.     vestarse  yo me visto  tú te vistes  él se viste  nosotros nos vestimos  vosotros vos vestís  ellos se visten;Im Gegensatz, wenn Sie Distanz ausdrücken möchten, kleiden Sie sich seriös und formal.;Español Gramática;;;2;04.03.18;08.03.18
507;encarar     La Argentina decidió encarar una reforma militar.;angehen / in Angriff nehmen;ECOS Español;;;1;04.11.18;04.11.18
508;encargado  encargar     Siempre encargo un DJ para mis cumpleaños.;beaufragt  bestellen     Für meinen Geburtstag bestelle ich immer einen DJ.;El arte de empezar;;swapped;5;21.05.17;02.03.19
509;encender la luz     apagar la luz;das Licht anmachen     ausmachen;Malaga 2018;;;5;29.03.18;12.01.19
510;encerrar     Encerraron el animal en una jaula.;einschließen     Sie haben das Tier in einem Käfig eingeschlossen.;El arte de empezar;;swapped;6;12.11.17;
511;encogerse de hombros;mit den Achseln zucken;El arte de empezar;;;6;21.05.17;
512;en cuanto a     en cuanto (tenga);bezüglich     sobald;Malaga 2018;;;5;29.03.18;12.01.19
513;enfático;emphatisch;El arte de empezar;;;6;21.05.17;
514;engañar a algien     Tu novio te engañó.;jmdn. täuschen / betrügen / überlisten     Dein Freund hat dich betrogen.;Malaga 2018;;swapped;5;29.03.18;12.01.19
515;enhance;#NAME?;Business English 1;;;3;06.01.14;16.01.18
516;en lugar de;anstelle von;El arte de empezar;;;6;21.05.17;
517;enmendar     Enmendame (tu) /  Enmendeme (usted) si hago errores.;berichtigen;El arte de empezar;;;6;21.05.17;
518;enquiery;Anfrage;Business English 1;;swapped;2;12.01.14;21.01.14
519;enquiries;Anfragen;Business English 1;;;5;04.11.13;06.04.18
520;entablar     entablar contactos / negociaciones;beginnen /eröffnen;El arte de empezar;;;6;20.01.18;
521;entmutigen;discourage;Business English 1;;;1;12.01.14;06.01.18
522;entregar algo     La Deutsche Post entrega muchos paquetes cada dia.;überreichen / liefern;Malaga 2018;;;5;29.03.18;12.01.19
523;entrust;beauftragen;Business English 1;;swapped;4;01.12.13;15.02.14
524;Entschädigung;compensation;Business English 2;;;2;11.03.15;09.01.18
525;Entschuldige, aber gestern konnte ich dir nicht helfen.;Perdoname, pero ayer no pude ayudarte.;Español Gramática;;swapped;4;10.02.18;30.03.18
526;entwerfen;plantear;El arte de empezar;;swapped;6;21.05.17;
527;enumerar     Primero enumeramos los razones para reducir los emisiones.;aufzählen;Español Gramática;;swapped;2;04.03.18;08.03.18
528;envelope;Briefumschlag;Business English 1;;swapped;4;01.12.13;15.02.14
529;envidiable     Los vendedores son grandes ejemplos de una actitud envidiable.;beneidenswert   ;Malaga 2018;;;5;18.08.18;02.03.19
530;equivocar alguien;jmdn. verwechseln;El arte de empezar;;;6;21.05.17;
531;Éramos dos hermanos.;Wir waren zwei Geschwister.;Español Gramática;;;3;18.02.18;13.03.18
532;eraser;Radiergummi;Business English 1;;;4;01.12.13;17.02.14
533;Er bekreuzigte sich bevor er die Klausur schrieb.     sich bekreuzigen;Se presignó antes de escribir el examen.     persignarse;Malaga 2018;;;4;29.03.18;25.12.18
534;erbringen (einer Dienstleistung)   ;to render;Business English 1;;swapped;4;06.01.14;05.02.18
535;Erfassung & Erstattung aller Kosten;capture and refund of all costs;Business English 1;;swapped;4;01.12.13;17.02.14
536;Erfüllung;fulfillment;Business English 1;;swapped;4;04.11.13;15.02.14
537;Er hat angerufen, um mir zu sagen, dass...;Ha llamado para decirme que...;ECOS Español;;swapped;6;04.02.18;
538;Er hat sich geduscht.;Se ha duchado.;Español Gramática;;;4;10.02.18;30.03.18
539;erhebliche Abweichung;considerable deviation;Business English 2;;;1;11.03.15;06.01.18
540;Erinnern Sie sich, dass übertriebene Distanz für Spanier auf Gleichgültigkeit hindeutet.;Recuerde que para los Españoles la distancia exagerada denota frialdad.;Español Gramática;;swapped;2;04.03.18;08.03.18
541;Erinnern Sie sich daran, dass die Spanier es gewohnt sind sich an Diskussionen zu beteiligen.;Recuerde que los Españoles se suelen involucrar en su discurso.;Español Gramática;;swapped;2;04.03.18;08.03.18
542;Er ist den ganzen Tag am Strand.;Está todo el día en la playa.;Español Gramática;;;4;10.02.18;30.03.18
543;Erklären Sie die Regel.;Explique la regla.;Español Gramática;;swapped;3;18.02.18;13.03.18
544;Erledigung;execution  to execute;Business English 1;;;1;04.11.13;06.01.18
545;Er lernt nie.;No estudia nunca.;Español Gramática;;;4;10.02.18;30.03.18
546;Er macht es meinetwegen.;Lo hace por mí.;ECOS Español;;swapped;6;04.02.18;
